parent,child,premise,conclusion,label
tool,doorhandle,tools are daxable,doorhandles are daxable,yes
animal,seal,animals are daxable,seals are daxable,yes
vehicle,cannon,vehicles are daxable,cannons are daxable,no
tool,bullet,tools are daxable,bullets are daxable,no
tool,rim,tools are daxable,rims are daxable,no
food,mussel,food is daxable,mussels are daxable,yes
toiletry,flatiron,toiletries are daxable,flatirons are daxable,yes
electronic device,lightbulb,electronic devices are daxable,lightbulbs are daxable,no
food,crouton,food is daxable,croutons are daxable,yes
mammal,modem,mammals are daxable,modems are daxable,no
office supply,eyeliner,office supplies are daxable,eyeliners are daxable,no
food,pea,food is daxable,peas are daxable,yes
fastener,belt buckle,fasteners are daxable,belt buckles are daxable,yes
animal,artichoke,animals are daxable,artichokes are daxable,no
food,hamburger,food is daxable,hamburgers are daxable,yes
toiletry,toothpick,toiletries are daxable,toothpicks are daxable,yes
toy,boomerang,toys are daxable,boomerangs are daxable,yes
fruit,polygraph,fruits are daxable,polygraphs are daxable,no
food,guacamole,food is daxable,guacamole is daxable,yes
livestock,lamb,livestocks are daxable,lambs are daxable,yes
women's clothing,fishnet stockings,women's clothes are daxable,fishnet stockings are daxable,yes
food,can,food is daxable,cans are daxable,no
animal,whale,animals are daxable,whales are daxable,yes
electronic device,star fruit,electronic devices are daxable,star fruits are daxable,no
plant,chive,plants are daxable,chives are daxable,yes
home decor,weasel,home decor is daxable,weasels are daxable,no
toy,frisbee,toys are daxable,frisbees are daxable,yes
food,raspberry,food is daxable,raspberries are daxable,yes
animal,orangutan,animals are daxable,orangutans are daxable,yes
seafood,buggy,seafood is daxable,buggies are daxable,no
outerwear,blouse,outerwear is daxable,blouses are daxable,no
container,camper,containers are daxable,campers are daxable,no
animal,duck,animals are daxable,ducks are daxable,yes
seafood,croissant,seafood is daxable,croissants are daxable,no
accessory,handkerchief,accessories are daxable,handkerchiefs are daxable,yes
food,asparagus,food is daxable,asparagus is daxable,yes
bird,latch,birds are daxable,latches are daxable,no
office supply,clipboard,office supplies are daxable,clipboards are daxable,yes
container,flyswatter,containers are daxable,flyswatters are daxable,no
footwear,tostada,footwear is daxable,tostadas are daxable,no
food,pistachio,food is daxable,pistachios are daxable,yes
tool,kangaroo,tools are daxable,kangaroos are daxable,no
toy,makeup,toys are daxable,makeup is daxable,no
plant,bamboo,plants are daxable,bamboos are daxable,yes
water vehicle,speedboat,water vehicles are daxable,speedboats are daxable,yes
furniture,table,furniture is daxable,tables are daxable,yes
mammal,swan,mammals are daxable,swans are daxable,no
seafood,hash,seafood is daxable,hash browns are daxable,no
animal,lip balm,animals are daxable,lip balms are daxable,no
mammal,pelican,mammals are daxable,pelicans are daxable,no
container,pillbox,containers are daxable,pillboxes are daxable,yes
toy,stilt,toys are daxable,stilts are daxable,yes
animal,tarantula,animals are daxable,tarantulas are daxable,yes
animal,chipmunk,animals are daxable,chipmunks are daxable,yes
vehicle,ship,vehicles are daxable,ships are daxable,yes
musical instrument,clarinet,musical instruments are daxable,clarinets are daxable,yes
container,jeep,containers are daxable,jeeps are daxable,no
accessory,brooch,accessories are daxable,brooches are daxable,yes
animal,hummingbird,animals are daxable,hummingbirds are daxable,yes
toiletry,glue,toiletries are daxable,glue is daxable,no
vegetable,sweeper,vegetables are daxable,sweepers are daxable,no
food,chicken,food is daxable,a chicken is daxable,yes
furniture,sofa bed,furniture is daxable,sofa beds are daxable,yes
plant,bin,plants are daxable,bins are daxable,no
breakfast,granola,breakfasts are daxable,granola is daxable,yes
clothing,bok choy,clothing is daxable,bok choys are daxable,no
toiletry,mascara,toiletries are daxable,mascaras are daxable,yes
candy,gumball,candy is daxable,gumballs are daxable,yes
electronic device,keyboard,electronic devices are daxable,keyboards are daxable,no
vehicle,orange,vehicles are daxable,oranges are daxable,no
container,mushroom,containers are daxable,mushrooms are daxable,no
insect,butterfly,insects are daxable,butterflies are daxable,yes
toy,clam,toys are daxable,clams are daxable,no
jewelry,toast,jewelry is daxable,toast is daxable,no
mammal,duckling,mammals are daxable,ducklings are daxable,no
school supply,crayon,school supplies are daxable,crayons are daxable,yes
seafood,octopus,seafood is daxable,an octopus is daxable,yes
mammal,blender,mammals are daxable,blenders are daxable,no
water vehicle,snowplow,water vehicles are daxable,snowplows are daxable,no
electronic device,pinball,electronic devices are daxable,pinballs are daxable,yes
tool,pocketknife,tools are daxable,pocketknives are daxable,yes
vegetable,melon,vegetables are daxable,melons are daxable,no
food,ready meal,food is daxable,ready meals are daxable,yes
candy,easter egg,candy is daxable,easter eggs are daxable,no
jewelry,chandelier,jewelry is daxable,chandeliers are daxable,no
tool,applesauce,tools are daxable,applesauce is daxable,no
garden tool,calzone,garden tools are daxable,calzones are daxable,no
furniture,rug,furniture is daxable,rugs are daxable,no
animal,leopard,animals are daxable,leopards are daxable,yes
livestock,calf,livestocks are daxable,calves are daxable,yes
food,yolk,food is daxable,egg yolks are daxable,yes
game,playing card,games are daxable,playing cards are daxable,yes
clothing,boxer shorts,clothing is daxable,boxer shorts are daxable,yes
container,golf cart,containers are daxable,golf carts are daxable,no
vegetable,shoe,vegetables are daxable,shoes are daxable,no
seafood,scooter,seafood is daxable,scooters are daxable,no
protective clothing,apron,protective clothing is daxable,aprons are daxable,yes
mammal,hyena,mammals are daxable,hyenas are daxable,yes
plant,brass knuckles,plants are daxable,brass knuckles are daxable,no
kitchen tool,beaver,kitchen tools are daxable,beavers are daxable,no
drink,margarita,drinks are daxable,margaritas are daxable,yes
animal,tambourine,animals are daxable,tambourines are daxable,no
mammal,bat,mammals are daxable,bats are daxable,yes
food,stilt,food is daxable,stilts are daxable,no
container,ship,containers are daxable,ships are daxable,no
food,milkshake,food is daxable,milkshakes are daxable,no
toy,crepe,toys are daxable,crepes are daxable,no
food,cornucopia,food is daxable,cornucopias are daxable,no
plant,bok choy,plants are daxable,bok choys are daxable,yes
toy,lego,toys are daxable,legos are daxable,yes
medical equipment,tweezers,medical equipment is daxable,tweezers are daxable,yes
plant,gourd,plants are daxable,gourds are daxable,no
electronic device,anteater,electronic devices are daxable,anteaters are daxable,no
headwear,salad,headwear is daxable,salads are daxable,no
kitchen tool,peeler,kitchen tools are daxable,peelers are daxable,yes
garden tool,rake,garden tools are daxable,rakes are daxable,yes
food,batter,food is daxable,batters are daxable,yes
mammal,dresser,mammals are daxable,dressers are daxable,no
tool,bulldozer,tools are daxable,bulldozers are daxable,no
medical equipment,inhaler,medical equipment is daxable,inhalers are daxable,yes
electronic device,papaya,electronic devices are daxable,papayas are daxable,no
tool,poker,tools are daxable,pokers are daxable,yes
food,mango,food is daxable,mangoes are daxable,yes
clothing,coconut,clothing is daxable,coconuts are daxable,no
livestock,ratchet,livestocks are daxable,ratchets are daxable,no
vehicle,jet,vehicles are daxable,jets are daxable,yes
electronic device,turntable,electronic devices are daxable,turntables are daxable,yes
animal,fish,animals are daxable,fish are daxable,yes
condiment,sauce,condiments are daxable,sauces are daxable,yes
food,soap,food is daxable,soaps are daxable,no
fastener,staple gun,fasteners are daxable,staple guns are daxable,no
home decor,curtain,home decor is daxable,curtains are daxable,yes
furniture,screen,furniture is daxable,screens are daxable,no
fastener,rat,fasteners are daxable,rats are daxable,no
office supply,envelope,office supplies are daxable,envelopes are daxable,yes
vehicle,forklift,vehicles are daxable,forklifts are daxable,yes
garden tool,pickax,garden tools are daxable,pickaxes are daxable,yes
animal,dog,animals are daxable,dogs are daxable,yes
vegetable,pea,vegetables are daxable,peas are daxable,yes
home decor,centerpiece,home decor is daxable,centerpieces are daxable,yes
toy,pickle,toys are daxable,pickles are daxable,no
food,overalls,food is daxable,overalls are daxable,no
fastener,earring,fasteners are daxable,earrings are daxable,no
office supply,taco,office supplies are daxable,tacos are daxable,no
vehicle,cart,vehicles are daxable,carts are daxable,yes
office supply,brussels sprouts,office supplies are daxable,brussels sprouts are daxable,no
tool,shelf,tools are daxable,shelves are daxable,no
kitchen tool,wok,kitchen tools are daxable,woks are daxable,no
vegetable,rhubarb,vegetables are daxable,rhubarbs are daxable,yes
kitchen equipment,hotplate,kitchen equipment is daxable,hotplates are daxable,yes
vehicle,hubcap,vehicles are daxable,hubcaps are daxable,no
bird,pheasant,birds are daxable,pheasants are daxable,yes
fruit,prune,fruits are daxable,prunes are daxable,yes
sea animal,flamingo,sea animals are daxable,flamingoes are daxable,no
fruit,duct,fruits are daxable,ducts are daxable,no
breakfast,buckle,breakfasts are daxable,buckles are daxable,no
animal,pumpkin,animals are daxable,pumpkins are daxable,no
weapon,crossbow,weapons are daxable,crossbows are daxable,yes
animal,cheetah,animals are daxable,cheetahs are daxable,yes
vegetable,leek,vegetables are daxable,leeks are daxable,yes
tool,baseball bat,tools are daxable,baseball bats are daxable,no
dessert,brace,desserts are daxable,braces are daxable,no
food,cashew,food is daxable,cashews are daxable,yes
headwear,fur coat,headwear is daxable,fur coats are daxable,no
office supply,lettuce,office supplies are daxable,a lettuce is daxable,no
tool,spark plug,tools are daxable,spark plugs are daxable,yes
vehicle,sailboat,vehicles are daxable,sailboats are daxable,yes
musical instrument,keyboard,musical instruments are daxable,keyboards are daxable,yes
food,bean,food is daxable,beans are daxable,yes
headwear,veil,headwear is daxable,veils are daxable,yes
vegetable,needle,vegetables are daxable,needles are daxable,no
electronic device,hotplate,electronic devices are daxable,hotplates are daxable,yes
animal,whiteboard,animals are daxable,whiteboards are daxable,no
school supply,playing card,school supplies are daxable,playing cards are daxable,no
sea animal,electric chair,sea animals are daxable,electric chairs are daxable,no
animal,mole,animals are daxable,moles are daxable,yes
toy,whoopee cushion,toys are daxable,whoopee cushions are daxable,yes
animal,strap,animals are daxable,straps are daxable,no
drink,soda,drinks are daxable,sodas are daxable,yes
electronic device,fern,electronic devices are daxable,ferns are daxable,no
seafood,lobster,seafood is daxable,lobsters are daxable,yes
animal,porcupine,animals are daxable,porcupines are daxable,yes
furniture,sled,furniture is daxable,sleds are daxable,no
vegetable,crossbow,vegetables are daxable,crossbows are daxable,no
mammal,gazelle,mammals are daxable,gazelles are daxable,yes
furniture,bench,furniture is daxable,benches are daxable,yes
mammal,eagle,mammals are daxable,eagles are daxable,no
container,hot chocolate,containers are daxable,hot chocolate is daxable,no
dessert,boot,desserts are daxable,boots are daxable,no
water vehicle,cookie,water vehicles are daxable,cookies are daxable,no
